Time period,Counterparty,Buy,Sell,Size
882,Charlie the Chad,1,,55
883,Charlie the Chad,1,,36
884,Charlie the Chad,,1,39
885,Charlie the Chad,1,,32
886,Charlie the Chad,1,,28
887,Charlie the Chad,1,,36
888,Charlie the Chad,1,,28
889,Charlie the Chad,1,,55
890,Charlie the Chad,1,,34
891,Charlie the Chad,,,20
892,Charlie the Chad,1,,50
893,Charlie the Chad,,1,20
894,Charlie the Chad,1,,32
895,Charlie the Chad,,1,45
896,Charlie the Chad,,,36
897,Charlie the Chad,1,,51
898,Charlie the Chad,,,52
899,Charlie the Chad,,1,37
900,Charlie the Chad,,,52
901,Charlie the Chad,,1,20
902,Charlie the Chad,,,57
903,Charlie the Chad,,1,38
904,Charlie the Chad,,1,50
905,Charlie the Chad,1,,21
906,Charlie the Chad,1,,32
907,Charlie the Chad,,,43
908,Charlie the Chad,,,38
909,Charlie the Chad,,1,21
910,Charlie the Chad,,1,37
911,Charlie the Chad,,1,44
912,Charlie the Chad,,1,38
913,Charlie the Chad,,,33
914,Charlie the Chad,,1,52
915,Charlie the Chad,,1,23
916,Charlie the Chad,,,40
917,Charlie the Chad,,,55
918,Charlie the Chad,1,,39
919,Charlie the Chad,,1,31
920,Charlie the Chad,,1,45
921,Charlie the Chad,1,,21
922,Charlie the Chad,,1,56
923,Charlie the Chad,,1,24
924,Charlie the Chad,1,,56
925,Charlie the Chad,1,,46
926,Charlie the Chad,,,55
927,Charlie the Chad,,1,46
928,Charlie the Chad,,1,49
929,Charlie the Chad,1,,58
930,Charlie the Chad,,1,45
931,Charlie the Chad,1,,51
932,Charlie the Chad,,,35
933,Charlie the Chad,1,,46
934,Charlie the Chad,,1,39
935,Charlie the Chad,1,,54
936,Charlie the Chad,,1,48
937,Charlie the Chad,,,43
938,Charlie the Chad,,1,43
939,Charlie the Chad,1,,32
940,Charlie the Chad,1,,45
941,Charlie the Chad,,1,28
942,Charlie the Chad,,1,53
943,Charlie the Chad,1,,42
944,Charlie the Chad,,1,42
945,Charlie the Chad,1,,48
946,Charlie the Chad,,1,28
947,Charlie the Chad,1,,20
948,Charlie the Chad,1,,46
949,Charlie the Chad,,1,46
950,Charlie the Chad,,1,22
951,Charlie the Chad,,,29
952,Charlie the Chad,1,,33
953,Charlie the Chad,,1,43
954,Charlie the Chad,,1,42
955,Charlie the Chad,,1,40
956,Charlie the Chad,,1,29
957,Charlie the Chad,1,,60
958,Charlie the Chad,1,,54
959,Charlie the Chad,1,,42
960,Charlie the Chad,1,,50
961,Charlie the Chad,,1,23
962,Charlie the Chad,1,,35
963,Charlie the Chad,,1,35
964,Charlie the Chad,1,,50
965,Charlie the Chad,,1,29
966,Charlie the Chad,1,,30
967,Charlie the Chad,,1,42
968,Charlie the Chad,,1,55
969,Charlie the Chad,,,42
970,Charlie the Chad,1,,35
971,Charlie the Chad,1,,31
972,Charlie the Chad,,1,54
973,Charlie the Chad,1,,38
974,Charlie the Chad,1,,38
975,Charlie the Chad,,1,58
976,Charlie the Chad,,1,23
977,Charlie the Chad,1,,44
978,Charlie the Chad,1,,30
979,Charlie the Chad,,1,47
980,Charlie the Chad,1,,29
981,Charlie the Chad,,1,49
982,Charlie the Chad,,1,51
983,Charlie the Chad,,1,32
984,Charlie the Chad,,1,45
985,Charlie the Chad,1,,59
986,Charlie the Chad,1,,37
987,Charlie the Chad,,,42
988,Charlie the Chad,,1,28
989,Charlie the Chad,,1,50
990,Charlie the Chad,1,,48
991,Charlie the Chad,1,,20
992,Charlie the Chad,1,,51
993,Charlie the Chad,,1,47
994,Charlie the Chad,1,,45
995,Charlie the Chad,,1,32
996,Charlie the Chad,,1,21
997,Charlie the Chad,,1,50
998,Charlie the Chad,1,,44
999,Charlie the Chad,1,,22
1000,Charlie the Chad,,,46
1001,Charlie the Chad,1,,56
1002,Charlie the Chad,,1,32
1003,Charlie the Chad,1,,45
1004,Charlie the Chad,,1,26
1005,Charlie the Chad,1,,33
1006,Charlie the Chad,,,48
1007,Charlie the Chad,1,,50
1008,Charlie the Chad,,,28
1009,Charlie the Chad,1,,57
1010,Charlie the Chad,,1,55
1011,Charlie the Chad,1,,22
1012,Charlie the Chad,,,56
1013,Charlie the Chad,1,,29
1014,Charlie the Chad,1,,24
1015,Charlie the Chad,,1,26
1016,Charlie the Chad,1,,53
1017,Charlie the Chad,1,,35
1018,Charlie the Chad,,1,57
1019,Charlie the Chad,,1,38
1020,Charlie the Chad,,1,24
1021,Charlie the Chad,,1,43
1022,Charlie the Chad,1,,28
1023,Charlie the Chad,,1,60
1024,Charlie the Chad,1,,52
1025,Charlie the Chad,1,,37
1026,Charlie the Chad,,1,47
1027,Charlie the Chad,,1,37
1028,Charlie the Chad,1,,49
1029,Charlie the Chad,,1,24
1030,Charlie the Chad,,1,23
1031,Charlie the Chad,1,,24
1032,Charlie the Chad,,1,43
1033,Charlie the Chad,,1,32
1034,Charlie the Chad,,1,50
1035,Charlie the Chad,,1,47
1036,Charlie the Chad,,1,34
1037,Charlie the Chad,,1,41
1038,Charlie the Chad,,1,20
1039,Charlie the Chad,,1,56
1040,Charlie the Chad,,1,28
1041,Charlie the Chad,,1,23
1042,Charlie the Chad,1,,51
1043,Charlie the Chad,1,,28
1044,Charlie the Chad,1,,25
1045,Charlie the Chad,,,47
1046,Charlie the Chad,,1,34
1047,Charlie the Chad,1,,31
1048,Charlie the Chad,1,,47
1049,Charlie the Chad,,1,38
1050,Charlie the Chad,,1,40
1051,Charlie the Chad,,1,36
1052,Charlie the Chad,,,25
1053,Charlie the Chad,1,,20
1054,Charlie the Chad,,1,26
1055,Charlie the Chad,,1,49
1056,Charlie the Chad,,1,31
1057,Charlie the Chad,,1,31
1058,Charlie the Chad,,1,20
1059,Charlie the Chad,1,,48
1060,Charlie the Chad,,,22
1061,Charlie the Chad,1,,27
1062,Charlie the Chad,1,,44
1063,Charlie the Chad,,,21
1064,Charlie the Chad,1,,40
1065,Charlie the Chad,,1,24
1066,Charlie the Chad,,1,57
1067,Charlie the Chad,,1,20
1068,Charlie the Chad,1,,47
1069,Charlie the Chad,1,,49
1070,Charlie the Chad,1,,30
1071,Charlie the Chad,1,,40
1072,Charlie the Chad,1,,52
1073,Charlie the Chad,,1,26
1074,Charlie the Chad,,,42
1075,Charlie the Chad,,1,39
1076,Charlie the Chad,1,,21
1077,Charlie the Chad,,1,21
1078,Charlie the Chad,,1,54
1079,Charlie the Chad,1,,57
1080,Charlie the Chad,1,,60
1081,Charlie the Chad,,1,33
1082,Charlie the Chad,1,,21
1083,Charlie the Chad,,1,39
1084,Charlie the Chad,1,,34
1085,Charlie the Chad,1,,55
1086,Charlie the Chad,1,,37
1087,Charlie the Chad,1,,55
1088,Charlie the Chad,,1,22
1089,Charlie the Chad,1,,27
1090,Charlie the Chad,1,,51
1091,Charlie the Chad,,,24
1092,Charlie the Chad,,1,24
1093,Charlie the Chad,,,23
1094,Charlie the Chad,,1,32
1095,Charlie the Chad,,,46
1096,Charlie the Chad,1,,23
1097,Charlie the Chad,,1,24
1098,Charlie the Chad,1,,60
1099,Charlie the Chad,1,,53
1100,Charlie the Chad,,,60
1101,Charlie the Chad,1,,39
1102,Charlie the Chad,,1,42
1103,Charlie the Chad,,1,57
1104,Charlie the Chad,,,52
1105,Charlie the Chad,,1,34
1106,Charlie the Chad,1,,44
1107,Charlie the Chad,,1,40
1108,Charlie the Chad,,1,45
1109,Charlie the Chad,,,22
1110,Charlie the Chad,,,42
1111,Charlie the Chad,,,35
1112,Charlie the Chad,,1,54
1113,Charlie the Chad,,1,20
1114,Charlie the Chad,1,,31
1115,Charlie the Chad,1,,28
1116,Charlie the Chad,,1,37
1117,Charlie the Chad,1,,22
1118,Charlie the Chad,,1,53
1119,Charlie the Chad,,1,36
1120,Charlie the Chad,1,,33
1121,Charlie the Chad,1,,51
1122,Charlie the Chad,1,,34
1123,Charlie the Chad,1,,37
1124,Charlie the Chad,,1,34
1125,Charlie the Chad,,1,49
1126,Charlie the Chad,1,,54
1127,Charlie the Chad,,1,29
1128,Charlie the Chad,1,,55
1129,Charlie the Chad,,,50
1130,Charlie the Chad,1,,41
1131,Charlie the Chad,1,,29
1132,Charlie the Chad,,1,37
1133,Charlie the Chad,,1,28
1134,Charlie the Chad,,1,29
1135,Charlie the Chad,,,43
1136,Charlie the Chad,1,,41
1137,Charlie the Chad,,1,50
1138,Charlie the Chad,1,,23
1139,Charlie the Chad,1,,37
1140,Charlie the Chad,,1,27
1141,Charlie the Chad,,1,35
1142,Charlie the Chad,,,60
1143,Charlie the Chad,,,40
1144,Charlie the Chad,1,,57
1145,Charlie the Chad,,,60
1146,Charlie the Chad,,,20
1147,Charlie the Chad,1,,57
1148,Charlie the Chad,,1,41
1149,Charlie the Chad,1,,29
1150,Charlie the Chad,1,,41
1151,Charlie the Chad,,1,28
1152,Charlie the Chad,,,28
1153,Charlie the Chad,,,23
1154,Charlie the Chad,1,,30
1155,Charlie the Chad,1,,31
1156,Charlie the Chad,,,24
1157,Charlie the Chad,,1,52
1158,Charlie the Chad,,1,40
1159,Charlie the Chad,1,,45
1160,Charlie the Chad,1,,26
1161,Charlie the Chad,1,,59
1162,Charlie the Chad,,1,44
1163,Charlie the Chad,,1,20
1164,Charlie the Chad,,1,45
1165,Charlie the Chad,1,,58
1166,Charlie the Chad,,,57
1167,Charlie the Chad,,1,25
1168,Charlie the Chad,,,21
1169,Charlie the Chad,,1,29
1170,Charlie the Chad,1,,26
1171,Charlie the Chad,,1,42
1172,Charlie the Chad,,1,26
1173,Charlie the Chad,1,,34
1174,Charlie the Chad,1,,60
1175,Charlie the Chad,,,44
1176,Charlie the Chad,,1,27
1177,Charlie the Chad,1,,42
1178,Charlie the Chad,1,,35
1179,Charlie the Chad,,1,34
1180,Charlie the Chad,,1,35
1181,Charlie the Chad,,,58
1182,Charlie the Chad,1,,34
1183,Charlie the Chad,,1,33
1184,Charlie the Chad,1,,44
1185,Charlie the Chad,1,,47
1186,Charlie the Chad,1,,36
1187,Charlie the Chad,1,,42
1188,Charlie the Chad,,,20
1189,Charlie the Chad,,1,31
1190,Charlie the Chad,1,,32
1191,Charlie the Chad,,1,40
1192,Charlie the Chad,,1,31
1193,Charlie the Chad,,,53
1194,Charlie the Chad,1,,30
1195,Charlie the Chad,1,,24
1196,Charlie the Chad,,1,35
1197,Charlie the Chad,,1,40
1198,Charlie the Chad,1,,35
1199,Charlie the Chad,1,,60
1200,Charlie the Chad,1,,20
1201,Charlie the Chad,,1,45
1202,Charlie the Chad,,,55
1203,Charlie the Chad,,1,38
1204,Charlie the Chad,1,,53
1205,Charlie the Chad,,1,59
1206,Charlie the Chad,1,,48
1207,Charlie the Chad,1,,36
1208,Charlie the Chad,,1,30
1209,Charlie the Chad,,1,41
1210,Charlie the Chad,,1,44
1211,Charlie the Chad,,,54
1212,Charlie the Chad,1,,26
1213,Charlie the Chad,1,,50
1214,Charlie the Chad,,1,36
1215,Charlie the Chad,1,,47
1216,Charlie the Chad,1,,28
1217,Charlie the Chad,1,,24
1218,Charlie the Chad,,1,35
1219,Charlie the Chad,,,38
1220,Charlie the Chad,,,54
1221,Charlie the Chad,1,,26
1222,Charlie the Chad,,1,44
1223,Charlie the Chad,,1,48
1224,Charlie the Chad,,1,46
1225,Charlie the Chad,,,48
1226,Charlie the Chad,,1,44
1227,Charlie the Chad,1,,27
1228,Charlie the Chad,,1,59
1229,Charlie the Chad,,1,50
1230,Charlie the Chad,,1,30
1231,Charlie the Chad,1,,24
1232,Charlie the Chad,,1,46
1233,Charlie the Chad,1,,51
1234,Charlie the Chad,1,,41
1235,Charlie the Chad,,1,45
1236,Charlie the Chad,,1,22
1237,Charlie the Chad,1,,21
1238,Charlie the Chad,1,,46
1239,Charlie the Chad,,,35
1240,Charlie the Chad,,,20
1241,Charlie the Chad,,1,33
1242,Charlie the Chad,1,,32
1243,Charlie the Chad,1,,32
1244,Charlie the Chad,,1,46
1245,Charlie the Chad,1,,43
1246,Charlie the Chad,,,39
1247,Charlie the Chad,,1,39
1248,Charlie the Chad,,1,27
1249,Charlie the Chad,1,,50
1250,Charlie the Chad,,,56
1251,Charlie the Chad,1,,52
1252,Charlie the Chad,,,43
1253,Charlie the Chad,,,46
1254,Charlie the Chad,1,,54
1255,Charlie the Chad,1,,20
1256,Charlie the Chad,,1,21
1257,Charlie the Chad,,1,43
1258,Charlie the Chad,,1,24
1259,Charlie the Chad,1,,57
1260,Charlie the Chad,1,,25
1261,Charlie the Chad,,,58
1262,Charlie the Chad,,1,44
1263,Charlie the Chad,,1,50
1264,Charlie the Chad,1,,52
1265,Charlie the Chad,,1,59
1266,Charlie the Chad,,1,24
1267,Charlie the Chad,,1,52
1268,Charlie the Chad,1,,57
1269,Charlie the Chad,,1,44
1270,Charlie the Chad,,1,40
1271,Charlie the Chad,,,25
1272,Charlie the Chad,1,,39
1273,Charlie the Chad,1,,23
1274,Charlie the Chad,,1,41
1275,Charlie the Chad,1,,30
1276,Charlie the Chad,,,25
1277,Charlie the Chad,1,,45
1278,Charlie the Chad,,1,21
1279,Charlie the Chad,1,,21
1280,Charlie the Chad,1,,44
1281,Charlie the Chad,1,,57
1282,Charlie the Chad,1,,35
1283,Charlie the Chad,1,,51
1284,Charlie the Chad,,1,44
1285,Charlie the Chad,,1,46
1286,Charlie the Chad,,1,40
1287,Charlie the Chad,,1,33
1288,Charlie the Chad,,,20
1289,Charlie the Chad,,,40
1290,Charlie the Chad,,,58
1291,Charlie the Chad,1,,25
1292,Charlie the Chad,1,,39
1293,Charlie the Chad,1,,40
1294,Charlie the Chad,,1,41
1295,Charlie the Chad,,,57
1296,Charlie the Chad,1,,34
1297,Charlie the Chad,1,,21
1298,Charlie the Chad,,1,48
1299,Charlie the Chad,1,,37
1300,Charlie the Chad,,,46
1301,Charlie the Chad,,1,54
1302,Charlie the Chad,,,39
1303,Charlie the Chad,,,60
1304,Charlie the Chad,1,,40
1305,Charlie the Chad,1,,21
1306,Charlie the Chad,,,53
1307,Charlie the Chad,,1,46
1308,Charlie the Chad,,1,30
1309,Charlie the Chad,,1,32
1310,Charlie the Chad,1,,27
1311,Charlie the Chad,1,,36
1312,Charlie the Chad,1,,58
1313,Charlie the Chad,1,,27
1314,Charlie the Chad,,1,51
1315,Charlie the Chad,1,,31
1316,Charlie the Chad,,1,34
1317,Charlie the Chad,,1,52
1318,Charlie the Chad,1,,32
1319,Charlie the Chad,1,,40
1320,Charlie the Chad,,1,22
1321,Charlie the Chad,,1,28
1322,Charlie the Chad,1,,58
1323,Charlie the Chad,1,,49
1324,Charlie the Chad,1,,55
1325,Charlie the Chad,1,,50
1326,Charlie the Chad,1,,38
1327,Charlie the Chad,1,,40
1328,Charlie the Chad,,,44
1329,Charlie the Chad,1,,53
1330,Charlie the Chad,1,,45
1331,Charlie the Chad,,,23
1332,Charlie the Chad,1,,31
1333,Charlie the Chad,,,48
1334,Charlie the Chad,1,,23
1335,Charlie the Chad,1,,30
1336,Charlie the Chad,1,,43
1337,Charlie the Chad,1,,46
1338,Charlie the Chad,,,49
1339,Charlie the Chad,1,,32
1340,Charlie the Chad,,,41
1341,Charlie the Chad,,1,54
1342,Charlie the Chad,1,,58
1343,Charlie the Chad,,1,45
1344,Charlie the Chad,1,,26
1345,Charlie the Chad,1,,24
1346,Charlie the Chad,1,,52
1347,Charlie the Chad,1,,45
1348,Charlie the Chad,,1,21
1349,Charlie the Chad,,1,21
1350,Charlie the Chad,,,40
1351,Charlie the Chad,,,29
1352,Charlie the Chad,1,,33
1353,Charlie the Chad,,1,42
1354,Charlie the Chad,1,,43
1355,Charlie the Chad,,1,46
1356,Charlie the Chad,,,21
1357,Charlie the Chad,,1,53
1358,Charlie the Chad,,1,37
1359,Charlie the Chad,1,,47
1360,Charlie the Chad,1,,28
1361,Charlie the Chad,,,46
1362,Charlie the Chad,,1,38
1363,Charlie the Chad,,1,22
1364,Charlie the Chad,,1,50
1365,Charlie the Chad,1,,47
1366,Charlie the Chad,1,,59
1367,Charlie the Chad,,1,24
1368,Charlie the Chad,,,32
1369,Charlie the Chad,,1,48
1370,Charlie the Chad,1,,39
1371,Charlie the Chad,1,,60
1372,Charlie the Chad,,1,31
1373,Charlie the Chad,1,,43
1374,Charlie the Chad,,,28
1375,Charlie the Chad,,1,28
1376,Charlie the Chad,,,25
1377,Charlie the Chad,,1,55
1378,Charlie the Chad,,,42
1379,Charlie the Chad,1,,36
1380,Charlie the Chad,,,29
1381,Charlie the Chad,,1,43
1382,Charlie the Chad,1,,27
1383,Charlie the Chad,,1,26
1384,Charlie the Chad,,1,43
1385,Charlie the Chad,1,,20
1386,Charlie the Chad,,,33
1387,Charlie the Chad,,,37
1388,Charlie the Chad,1,,60
1389,Charlie the Chad,,1,24
1390,Charlie the Chad,,,39
1391,Charlie the Chad,,1,35
1392,Charlie the Chad,,1,44
1393,Charlie the Chad,,1,20
1394,Charlie the Chad,,1,27
1395,Charlie the Chad,,1,54
1396,Charlie the Chad,1,,56
1397,Charlie the Chad,1,,41
1398,Charlie the Chad,,1,37
1399,Charlie the Chad,1,,54
1400,Charlie the Chad,,1,48
1401,Charlie the Chad,,1,22
1402,Charlie the Chad,1,,34
1403,Charlie the Chad,,1,26
1404,Charlie the Chad,,1,55
1405,Charlie the Chad,,1,23
1406,Charlie the Chad,,1,35
1407,Charlie the Chad,,,50
1408,Charlie the Chad,,,30
1409,Charlie the Chad,,,48
1410,Charlie the Chad,,1,38
1411,Charlie the Chad,,1,35
1412,Charlie the Chad,,,33
1413,Charlie the Chad,1,,41
1414,Charlie the Chad,,1,30
1415,Charlie the Chad,,,57
1416,Charlie the Chad,1,,51
1417,Charlie the Chad,1,,33
1418,Charlie the Chad,,1,34
1419,Charlie the Chad,,1,59
1420,Charlie the Chad,,,46
1421,Charlie the Chad,1,,58
1422,Charlie the Chad,,1,32
1423,Charlie the Chad,1,,21
1424,Charlie the Chad,1,,23
1425,Charlie the Chad,,1,52
1426,Charlie the Chad,,1,46
1427,Charlie the Chad,1,,37
1428,Charlie the Chad,1,,53
1429,Charlie the Chad,,1,32
1430,Charlie the Chad,,1,21
1431,Charlie the Chad,1,,26
1432,Charlie the Chad,,,49
1433,Charlie the Chad,1,,28
1434,Charlie the Chad,1,,56
1435,Charlie the Chad,,1,27
1436,Charlie the Chad,,1,34
1437,Charlie the Chad,,1,33
1438,Charlie the Chad,1,,22
1439,Charlie the Chad,,1,51
1440,Charlie the Chad,,1,28
1441,Charlie the Chad,1,,38
1442,Charlie the Chad,,1,59
1443,Charlie the Chad,1,,39
1444,Charlie the Chad,,,53
1445,Charlie the Chad,,1,29
1446,Charlie the Chad,1,,35
1447,Charlie the Chad,,,37
1448,Charlie the Chad,,1,52
1449,Charlie the Chad,,1,36
1450,Charlie the Chad,,1,48
1451,Charlie the Chad,,1,57
1452,Charlie the Chad,,1,32
1453,Charlie the Chad,,1,29
1454,Charlie the Chad,,1,49
1455,Charlie the Chad,,1,45
1456,Charlie the Chad,,1,24
1457,Charlie the Chad,,1,42
1458,Charlie the Chad,1,,27
1459,Charlie the Chad,,,60
1460,Charlie the Chad,,1,56
1461,Charlie the Chad,,,49
1462,Charlie the Chad,1,,25
1463,Charlie the Chad,,,44
1464,Charlie the Chad,,1,50
1465,Charlie the Chad,,1,44
1466,Charlie the Chad,,,44
1467,Charlie the Chad,1,,58
1468,Charlie the Chad,,1,47
1469,Charlie the Chad,1,,27
1470,Charlie the Chad,1,,28
1471,Charlie the Chad,,1,32
1472,Charlie the Chad,,,24
1473,Charlie the Chad,,,39
1474,Charlie the Chad,,1,44
1475,Charlie the Chad,,,54
1476,Charlie the Chad,1,,46
1477,Charlie the Chad,,,38
1478,Charlie the Chad,,1,47
1479,Charlie the Chad,,1,56
1480,Charlie the Chad,,1,50
1481,Charlie the Chad,1,,31
1482,Charlie the Chad,,,59
1483,Charlie the Chad,,1,60
1484,Charlie the Chad,1,,58
1485,Charlie the Chad,1,,58
1486,Charlie the Chad,,1,57
1487,Charlie the Chad,,,57
1488,Charlie the Chad,,1,41
1489,Charlie the Chad,,1,28
1490,Charlie the Chad,1,,45
1491,Charlie the Chad,,1,31
1492,Charlie the Chad,1,,20
1493,Charlie the Chad,1,,58
1494,Charlie the Chad,,,49
1495,Charlie the Chad,1,,57
1496,Charlie the Chad,1,,44
1497,Charlie the Chad,1,,31
1498,Charlie the Chad,1,,56
1499,Charlie the Chad,,1,37
1500,Charlie the Chad,,,56
1501,Charlie the Chad,1,,46
1502,Charlie the Chad,,1,42
1503,Charlie the Chad,,1,26
1504,Charlie the Chad,,1,22
1505,Charlie the Chad,1,,60
1506,Charlie the Chad,1,,55
1507,Charlie the Chad,1,,49
1508,Charlie the Chad,1,,58
1509,Charlie the Chad,,,21
1510,Charlie the Chad,1,,46
1511,Charlie the Chad,,,38
1512,Charlie the Chad,,1,31
1513,Charlie the Chad,,1,43
1514,Charlie the Chad,1,,34
1515,Charlie the Chad,,,50
1516,Charlie the Chad,,1,37
1517,Charlie the Chad,1,,44
1518,Charlie the Chad,1,,47
1519,Charlie the Chad,1,,26
1520,Charlie the Chad,,,39
1521,Charlie the Chad,1,,47
1522,Charlie the Chad,,1,45
1523,Charlie the Chad,,1,41
1524,Charlie the Chad,1,,27
1525,Charlie the Chad,1,,36
1526,Charlie the Chad,,1,49
1527,Charlie the Chad,,1,57
1528,Charlie the Chad,,,60
1529,Charlie the Chad,,1,23
1530,Charlie the Chad,1,,24
1531,Charlie the Chad,,,22
1532,Charlie the Chad,1,,35
1533,Charlie the Chad,1,,33
1534,Charlie the Chad,,1,59
1535,Charlie the Chad,,1,56
1536,Charlie the Chad,,1,28
1537,Charlie the Chad,1,,50
1538,Charlie the Chad,1,,50
1539,Charlie the Chad,1,,20
1540,Charlie the Chad,,1,44
1541,Charlie the Chad,1,,56
1542,Charlie the Chad,1,,52
1543,Charlie the Chad,,1,51
1544,Charlie the Chad,1,,23
1545,Charlie the Chad,1,,42
1546,Charlie the Chad,1,,43
1547,Charlie the Chad,,,48
1548,Charlie the Chad,,1,39
1549,Charlie the Chad,,1,39
1550,Charlie the Chad,1,,20
1551,Charlie the Chad,1,,23
1552,Charlie the Chad,1,,40
1553,Charlie the Chad,1,,41
1554,Charlie the Chad,,1,39
1555,Charlie the Chad,,1,47
1556,Charlie the Chad,,,50
1557,Charlie the Chad,1,,24
1558,Charlie the Chad,,1,31
1559,Charlie the Chad,,1,50
1560,Charlie the Chad,,1,44
1561,Charlie the Chad,1,,48
1562,Charlie the Chad,1,,47
1563,Charlie the Chad,,1,25
1564,Charlie the Chad,1,,41
1565,Charlie the Chad,,1,50
1566,Charlie the Chad,,1,45
1567,Charlie the Chad,,1,31
1568,Charlie the Chad,1,,23
1569,Charlie the Chad,,1,29
1570,Charlie the Chad,1,,60
1571,Charlie the Chad,1,,55
1572,Charlie the Chad,1,,43
1573,Charlie the Chad,,,28
1574,Charlie the Chad,,,31
1575,Charlie the Chad,,1,35
1576,Charlie the Chad,1,,31
1577,Charlie the Chad,,1,25
1578,Charlie the Chad,,1,52
1579,Charlie the Chad,,1,22
1580,Charlie the Chad,,,47
1581,Charlie the Chad,,1,45
1582,Charlie the Chad,,1,48
1583,Charlie the Chad,,1,55
1584,Charlie the Chad,1,,20
1585,Charlie the Chad,,,21
1586,Charlie the Chad,,,38
1587,Charlie the Chad,,1,27
1588,Charlie the Chad,1,,40
1589,Charlie the Chad,,1,44
1590,Charlie the Chad,,1,33
1591,Charlie the Chad,1,,27
1592,Charlie the Chad,1,,26
1593,Charlie the Chad,1,,24
1594,Charlie the Chad,1,,52
1595,Charlie the Chad,,1,55
1596,Charlie the Chad,,1,43
1597,Charlie the Chad,1,,53
1598,Charlie the Chad,1,,40
1599,Charlie the Chad,1,,46
1600,Charlie the Chad,,1,22
1601,Charlie the Chad,,1,42
1602,Charlie the Chad,1,,23
1603,Charlie the Chad,,1,47
1604,Charlie the Chad,,1,49
1605,Charlie the Chad,,,45
1606,Charlie the Chad,1,,35
1607,Charlie the Chad,1,,56
1608,Charlie the Chad,1,,59
1609,Charlie the Chad,,1,21
1610,Charlie the Chad,,1,57
1611,Charlie the Chad,1,,52
1612,Charlie the Chad,1,,30
1613,Charlie the Chad,1,,58
1614,Charlie the Chad,,1,42
1615,Charlie the Chad,,1,31
1616,Charlie the Chad,,,43
1617,Charlie the Chad,,1,31
1618,Charlie the Chad,1,,50
1619,Charlie the Chad,,1,37
1620,Charlie the Chad,1,,50
1621,Charlie the Chad,1,,31
1622,Charlie the Chad,1,,38
1623,Charlie the Chad,,1,47
1624,Charlie the Chad,,1,51
1625,Charlie the Chad,,1,39
1626,Charlie the Chad,,,41
1627,Charlie the Chad,,1,60
1628,Charlie the Chad,1,,38
1629,Charlie the Chad,1,,33
1630,Charlie the Chad,,1,23
1631,Charlie the Chad,,1,46
1632,Charlie the Chad,1,,46
1633,Charlie the Chad,,,34
1634,Charlie the Chad,,,20
1635,Charlie the Chad,1,,42
1636,Charlie the Chad,,1,35
1637,Charlie the Chad,1,,42
1638,Charlie the Chad,1,,29
1639,Charlie the Chad,,,41
1640,Charlie the Chad,1,,33
1641,Charlie the Chad,1,,38
1642,Charlie the Chad,1,,20
1643,Charlie the Chad,1,,53
1644,Charlie the Chad,,1,37
1645,Charlie the Chad,,1,40
1646,Charlie the Chad,1,,58
1647,Charlie the Chad,,1,35
1648,Charlie the Chad,,,58
1649,Charlie the Chad,,1,27
1650,Charlie the Chad,1,,34
1651,Charlie the Chad,,1,21
1652,Charlie the Chad,,1,34
1653,Charlie the Chad,,1,49
1654,Charlie the Chad,,,30
1655,Charlie the Chad,,1,32
1656,Charlie the Chad,,1,27
1657,Charlie the Chad,1,,51
1658,Charlie the Chad,1,,36
1659,Charlie the Chad,,1,56
1660,Charlie the Chad,1,,60
1661,Charlie the Chad,1,,46
1662,Charlie the Chad,1,,46
1663,Charlie the Chad,1,,51
1664,Charlie the Chad,,,37
1665,Charlie the Chad,,1,45
1666,Charlie the Chad,,1,22
1667,Charlie the Chad,1,,48
1668,Charlie the Chad,,,45
1669,Charlie the Chad,,1,30
1670,Charlie the Chad,,,56
1671,Charlie the Chad,,1,27
1672,Charlie the Chad,,,38
1673,Charlie the Chad,1,,22
1674,Charlie the Chad,1,,38
1675,Charlie the Chad,,,31
1676,Charlie the Chad,1,,35
1677,Charlie the Chad,,,47
1678,Charlie the Chad,1,,56
1679,Charlie the Chad,,1,34
1680,Charlie the Chad,,,35
1681,Charlie the Chad,1,,43
1682,Charlie the Chad,,1,35
1683,Charlie the Chad,1,,54
1684,Charlie the Chad,,1,56
1685,Charlie the Chad,1,,41
1686,Charlie the Chad,1,,34
1687,Charlie the Chad,,1,50
1688,Charlie the Chad,1,,32
1689,Charlie the Chad,,1,40
1690,Charlie the Chad,1,,54
1691,Charlie the Chad,,1,56
1692,Charlie the Chad,1,,44
1693,Charlie the Chad,,1,35
1694,Charlie the Chad,1,,48
1695,Charlie the Chad,1,,28
1696,Charlie the Chad,,1,44
1697,Charlie the Chad,1,,43
1698,Charlie the Chad,1,,52
1699,Charlie the Chad,1,,55
1700,Charlie the Chad,,1,52
1701,Charlie the Chad,,,53
1702,Charlie the Chad,1,,59
1703,Charlie the Chad,,1,46
1704,Charlie the Chad,1,,60
1705,Charlie the Chad,1,,34
1706,Charlie the Chad,1,,49
1707,Charlie the Chad,1,,36
1708,Charlie the Chad,,1,20
1709,Charlie the Chad,1,,21
1710,Charlie the Chad,1,,21
1711,Charlie the Chad,,1,44
1712,Charlie the Chad,1,,23
1713,Charlie the Chad,1,,30
1714,Charlie the Chad,,,45
1715,Charlie the Chad,,1,36
1716,Charlie the Chad,1,,42
1717,Charlie the Chad,,,49
1718,Charlie the Chad,1,,26
